year,quarter,EPS,BVPS,Revenue
2025,3,47.41804033270449,10977.3367697134,139292526302
2025,2,112.41974478740659,10956.9140982075,149368054431
2025,1,30.295125704132673,10920.8092520143,51131432612
2024,4,-18.55731262497846,10890.5141263102,108892211239
2024,3,21.505577853041043,10853.0520802273,54309070834
2024,2,67.1488954856292,10831.5465023743,77835390897
2024,1,22.680389985463297,10781.0517750464,52878551720
2023,4,145.01063914127002,10758.371385061,117646663393
2023,3,223.21495994882162,10632.5612144236,81858939397
2023,2,122.11572229845355,10819.1519913362,80411501275
2023,1,15.62439959240115,10802.4861027342,42878351195
2022,4,98.29409131527973,10786.8617031418,97742558262
2022,3,25.060601918049052,10680.2540201974,80003258789
2022,2,123.3551249719067,10668.8418772184,105618618196
2022,1,12.973728718980459,10633.9342922732,41775015650
2021,4,67.3765386891923,10615.9654022191,44053014555
2021,3,117.56541235956632,10559.6132164747,26081484505
2021,2,47.559840240699614,10869.354592391,46017583331
2021,1,7.566039767737425,10826.2992007664,8411464988
2020,4,81.27509042616009,10818.7331609987,27490698013
2020,3,56.529892365280936,10261.4126074575,33365322509
2020,2,173.00228588541,10204.8827150922,31628442579
2020,1,54.80643892626227,11062.7668918423,25393794950
2019,4,245.04824705870422,11007.960452916,64568972427
2019,3,58.1368081481769,10762.9122058573,15193892401
2019,2,174.6514440820748,10320.2783612961,24626196436
2019,1,53.67066134711314,11502.6412307824,23437036696
2018,4,223.2464907583591,11448.9705694353,33934593626
2018,3,60.83505855175655,6239.0472056434,18327587294
2018,2,442.62358198018666,12356.4242941834,29977642875
2018,1,815.6268050768796,13503.90752732,46255168655
2017,4,402.77367811943446,12688.3040047149,64730064621
2017,3,200.86466184894638,12285.5418239699,26684412540
2017,2,289.4467405840357,12084.6828959024,56346560624
2017,1,916.7609566468813,11795.2444177192,57623471724
2016,4,472.98838174236136,12333.1038699693,67523027686
2016,3,663.2331257210443,16308.046265875,74766676944
2016,2,119.527078625,14092.8332295,90855134767
2016,1,412.8313470666667,13973.306150875,58077072587
2015,4,411.55444746666666,14480.2156575,154337578035
2015,3,246.82861146666667,14094.383363,95207288869
2015,2,80.2125284,13862.98153975,77747815026
2015,1,214.93883346666667,14706.9673806667,50248656896
2014,4,32.452450266666666,14226.636844875,155095736509
2014,3,103.82908186666667,15142.6268509333,94815473326
2014,2,235.63539506666666,15038.7977690667,131494670181
2014,1,269.1150389333333,14803.162374,47843967737
2013,4,993.6415626666667,14534.0473350667,92341003122
2013,3,25.203491733333333,13540.4057724,56013460420
2013,2,-496.6447829333333,12670.502138125,16162705439
2013,1,29.17681706666667,13136.106622125,62265456632
2010,4,760.4580197435897,16525.3707034615,179630864019
2008,3,0.0,0.0,57000603322
2008,2,0.0,0.0,49769980725
