year,quarter,EPS,BVPS,Revenue
2025,3,288.66691620833336,12009.5745013333,424295743209
2025,2,361.306001,11720.907585125,470392433759
2025,1,64.87480425,11359.601584125,250112531018
2024,4,212.03924004166666,11294.726779875,354961851063
2024,3,57.92662908333333,11082.6875398333,239716741059
2024,2,11.206409125,11024.76091075,264490086408
2024,1,30.253258541666668,11013.554501625,197835383417
2023,4,130.18657445833333,11333.3012430833,408085960304
2023,3,75.7196715,11204.8984549583,304061210787
2023,2,80.597167125,11129.1787834583,276594638382
2023,1,109.22456991666667,12078.6913960833,209065611501
2022,4,488.7900853333333,12669.4668261667,373858359505
2022,3,150.73899241666666,12174.0100741667,254673665632
2022,2,21.04245125,12023.27108175,238561953055
2022,1,30.2897085,11927.8116515,140677671180
2021,4,297.40256275,12554.9275020833,364585291838
2021,3,7.018454833333333,12267.4655078333,117205043947
2021,2,271.18524133333335,12260.447053,236543057701
2021,1,30.651935666666667,12549.0618116667,144509947507
2020,4,326.74680383333333,12518.409876,239073577539
2020,3,29.870062916666665,12191.6630721667,177299616465
2020,2,311.53739666666667,12161.79300925,275138406145
2020,1,-144.20984683333333,12891.92227925,135192262843
2019,4,562.1499566666666,13036.1321260833,304921149509
2019,3,323.105917,12507.7923243333,285482509384
2019,2,190.231364,12216.5935700833,253978643649
2019,1,128.84026308333333,13026.3622060833,171327385560
2018,4,702.9863673333333,12967.2770359167,340894952719
2018,3,193.4419005,12264.2906685833,264488700735
2018,2,39.812587083333334,12070.8487680833,243007043340
2018,1,132.59757133333332,13111.6241525,181366623343
2017,4,-368.1581111666667,12979.0265811667,142132141315
2017,3,376.44465383333335,13400.88763775,239236803497
2017,2,523.9038415833334,13024.4429839167,341796431119
2017,1,277.033386,13300.5391423333,180754959259
2016,4,743.547651,16823.844846,403245521141
2016,3,241.83324708333333,16423.9725358333,252619230904
2016,2,1156.3153606666667,15940.3060416667,190334697911
2016,1,586.0877908333333,16983.990681,186880886001
2015,4,1508.729458,16741.6568745,354130369525
2015,3,535.436085,15224.26614,177507615035
2015,2,1413.3137165,15093.0999356667,254251245025
2015,1,659.6915156666666,14663.6900478333,219485488537
2014,4,819.2087308333333,16879.6293656667,255560127407
2014,3,642.063945,16033.4120755,197655446014
2014,2,978.692648,15548.9414363333,250449651620
2014,1,651.0280808333333,14504.8426385,178200418990
2013,4,669.81958,16121.8812718333,274034228631
2013,3,620.5751805,15472.1539516667,175142162384
2013,2,1075.8865305,14851.5787711667,166592367053
2013,1,428.1658663333333,15695.4950766667,168250377694
