year,quarter,EPS,BVPS,Revenue
2025,3,-55.57323888095238,7428.5462298,0
2025,2,-24.251037047619047,7486.2768551524,3158373876
2025,1,-26.252522095238096,7510.5278922,0
2024,4,-28.205745542857144,7536.7804142952,3129661385
2024,3,-24.1348015,7564.9861598381,0
2024,2,-29.3436881,7589.1209613381,0
2024,1,-22.27470693809524,7618.4646494381,0
2023,4,-23.342775242857144,7640.7393563762,9388984155
2023,3,-1348.873355052381,7664.082131619,0
2023,2,-6.682886466666667,9012.9554866714,23826727977
2023,1,13.51924569047619,9019.6383731381,0
2022,4,48.5518247,9006.1191274476,117260385051
2022,3,21.384791252380953,8980.3474284048,69027351022
2022,2,-27.3932216,8980.3474284048,0
2022,1,-16.77169530952381,8980.3474284048,0
2021,4,16.19553062857143,8980.3474284048,78825672828
2021,3,-24.97821329047619,7585.8082760667,0
2021,2,-16.7200489,9014.3797046381,0
2021,1,0.0,0.0,0
2020,4,-32.6582829,7585.8082760667,0
2020,3,0.0,0.0,0
2020,2,0.0,0.0,0
2020,1,0.0,0.0,0
2019,4,-26.553489494444445,931.1620228833,37279640182
2019,3,0.0,0.0,0
2019,2,0.0,0.0,0
2019,1,0.0,0.0,0
2018,4,34.6816495,7972.6565579722,12514045000
2018,3,0.0,0.0,0
2018,2,-114.60763200908059,8279.1802998056,0
2018,1,0.0,0.0,0
2017,4,-124.18114784335982,8457.7324288593,337841780
2017,3,0.0,0.0,2416800000
2017,2,0.0,0.0,0
2017,1,0.0,0.0,0
2016,4,-79.32011469920545,8718.6779786389,0
2016,3,356.26368172531215,8796.3235575833,948680296
2016,2,-20.23132752553916,8447.5809980278,1500000000
2016,1,-43.631552979568674,8467.38521975,1163636363
2015,4,95.75164077752554,8510.0956621667,11231846917
2015,3,-46.882068416572075,8413.9768123333,1373275109
2015,2,3.2957813847900113,8459.8691481944,2995818036
2015,1,22.47416484108967,8456.6429444167,10100249111
2014,4,189.79046501135073,8434.6432341666,28299140908
2014,3,-21.83460933598184,8427.4317320374,6402457496
2014,2,126.93446072644721,8451.5871910612,5913241231
2014,1,-234.49357150964812,8324.6527303348,918378212
2013,4,-255.56737326901248,8559.1463018445,983566729
2013,3,-205.32125590238365,8824.0139916572,4841211687
2013,2,-239.057539046538,8838.7159478888,5739804774
2013,1,-288.81143345629965,9072.7267166666,1021650747
