year,quarter,EPS,BVPS,Revenue
2025,3,452.77100224,17502.3652679467,251772068646
2025,2,1273.8631820133332,17045.77215568,274909053888
2025,1,-315.87187858666664,15771.9089736667,129998476604
2024,4,-515.98653052,16087.7808522533,164291794674
2024,3,-439.81775066666665,16590.9602398267,142891885533
2024,2,-33.62940336,17030.7779904933,158143755961
2024,1,-257.8115010133333,17064.4073938533,129072531844
2023,4,-3.9680296133333335,17322.2188948667,155081911277
2023,3,-31.441822293333335,18343.7646643733,135503209009
2023,2,110.69095038666667,18375.2064866667,152160374422
2023,1,396.2279118,18264.51553628,130757084824
2022,4,668.8312008133333,17868.28762448,149941149823
2022,3,661.42487296,17232.7696251333,131202292748
2022,2,873.6156828133334,17571.3447521733,152136822593
2022,1,514.9258776133333,18697.72906936,115634425961
2021,4,729.3604371733334,18182.8031917467,141130489203
2021,3,640.6502106533334,17456.3970722,128378468405
2021,2,847.6780712,16807.96755424,144495122055
2021,1,434.26360929333333,15994.0551701467,110964058494
2020,4,789.5235966533334,15559.7915608667,140233485082
2020,3,457.9934733333333,14791.4237310267,132885211412
2020,2,1006.6473477866666,14333.4302576933,145973757617
2020,1,365.62933016,13363.5370565733,115816165132
2019,4,-815.5544760133333,12997.9077264133,138557990500
2019,3,0.0,0.0,137850247646
2019,2,1017.0157710933333,13647.4400060933,154289514468
2019,1,670.2239043866666,13130.424235,109375004987
2018,4,872.0351092133334,13160.2003306133,135534981633
2018,3,754.2919749866667,12372.4972930533,117630973490
2018,2,768.4439333333333,11618.2053180667,119855015953
2018,1,519.9024792133333,17825.77512594,95545811939
2017,4,939.56679074,17045.92140712,111061650431
2017,3,861.16557132,16106.35461638,103056215196
2017,2,0.0,0.0,113268279819
2017,1,0.0,0.0,86504407236
2016,4,842.87833852,15309.28827624,107373603122
2016,2,0.0,0.0,114041867940
2016,1,0.0,0.0,89156034638
2013,3,0.0,0.0,105704878514
