year,quarter,EPS,BVPS,Revenue
2025,3,32.608417112702604,9565.7550669054,184557096047
2025,2,315.07273181304186,9533.1466497927,221190195380
2025,1,212.42268077647947,9218.0739179796,201634608810
2024,4,534.8121377685638,9005.6512372032,285152092580
2024,3,-166.09982261590653,8470.8390994346,166923935021
2024,2,316.6612297399171,8636.9389220505,198684732613
2024,1,152.80483531850734,8320.2776923106,182202677534
2023,4,456.9466016584998,8167.4728569921,243369687583
2023,3,-55.69780949868074,7768.0103762533,170665703960
2023,2,-93.07184112325669,7823.708185752,196969323970
2023,1,30.99787448171881,7916.7800268752,186262710120
2022,4,408.6302972860912,7885.7821523935,252107352523
2022,3,46.746342970222386,7483.6048708632,207753281206
2022,2,-7.760635620052771,7436.858527893,206996003588
2022,1,-155.82236769694686,7444.619163513,151300864296
2021,4,529.3829751225028,7600.44153121,248023789114
2021,3,120.82783969091595,7154.1560514512,211968220530
2021,2,318.3545678477196,7033.3282117603,194053263722
2021,1,153.35276750848095,6721.8571872974,170666285382
2020,4,413.65448300037696,6568.5044310969,260077182249
2020,3,166.71898914436488,6286.2139619676,242976695092
2020,2,320.48725974368637,6073.2474992084,248052578527
2020,1,-48.80585179042593,5752.7602394648,189203797748
2019,4,74.78827904259329,5801.5660912552,243454282145
2019,3,98.71483415001885,5607.0346731248,244699213460
2019,2,254.78788997361477,5508.3198389747,185315783852
2019,1,-267.1196425932906,5253.5319490011,183467613654
2018,4,110.10613720316623,5520.6515915944,281534623707
2018,3,0.0,0.0,203812156898
2018,2,220.89979468526198,5211.7314139842,221548101994
2018,1,-288.0037740294007,4990.8316192989,129087851100
2017,4,666.2256056916698,5278.8353933283,179535033529
2017,3,-191.89856245759518,4436.4911588014,121826660913
2017,2,578.6222319261213,4628.389721259,184864716171
2017,1,-587.3967370147003,4049.7674893328,112594783565
2016,4,1807.8292462118357,4637.1642263475,188786682666
2016,3,234.36571217489634,4005.1332411609,154626255439
2016,2,-336.5644038823973,3766.4437898228,183045779069
2016,1,52.47869325292122,3793.3957019224,150605691663
2015,4,1046.5040211835658,3740.9170086694,213803125724
2015,3,-457.75844387485864,2729.3441848473,140916270481
2015,2,-99.35121922352054,3187.1026253298,148320869232
2015,1,-23.535962005277046,3286.4538445533,127474137928
2014,4,422.47723479080287,3309.9898065586,198214675369
2014,3,60.91137338861666,3198.2186011308,142949223499
2014,2,450.0152575,2516.9046895312,156224224239
2014,1,2.0933265234375,2066.8894320312,170208436293
2013,2,0.0,2090.5915964453,139108963880
2013,1,0.0,2090.5915964453,128809083449
