year,quarter,EPS,BVPS,Revenue
2025,3,-239.30176757799327,4205.61132538,2517093536
2025,2,-56.63516121309397,4444.913092958,5823187857
2025,1,-40.678375493991176,4501.5238280776,0
2024,4,466.4446090894377,4542.2266296651,0
2024,3,-50.617411250185455,4075.7820205757,102681417
2024,2,-271.0322908377281,4126.3994318258,0
2024,1,-61.612049338422736,4397.4317226636,697492020
2023,4,8.139523846454729,4459.043772002,216359551
2023,3,-170.89236421143497,4564.4573780027,4866277640
2023,2,-239.1025534117425,4735.3497422142,656424658
2023,1,-102.51746149229172,4973.9465026099,214900000
2022,4,-55.9694428521331,5076.9697571182,1285557461
2022,3,-467.61199066643286,5181.2637923012,1362292406
2022,2,-262.9028095116063,5648.8757829676,524314806
2022,1,1.564611854439514,5911.7785924792,1023504490
2021,4,26.76607258466975,5910.2139806248,10261334501
2021,3,27.38763116898882,5884.1452280115,1285703961
2021,2,191.297346104045,5856.7575968425,1269465800
2021,1,-50.058448766539435,5665.4602507385,1692298739
2020,4,-87.67369454822568,5715.518699505,2567465826
2020,3,12.108904317449184,5803.1923940532,1782996517
2020,2,-947.5837849502974,5791.0834897358,616215175
2020,1,54.45209347729327,6738.6672746861,2045765106
2019,4,548.1004166048475,6684.2151812088,3008631940
2019,3,21.60447626819169,6136.1147646039,4976442158
2019,2,-16.494857602406228,6114.5102883357,3189036351
2019,1,7.903653680149985,6131.0051459381,762072348
2018,4,-1375.916265291809,6123.101492258,3426377329
2018,3,70.33251203787378,7498.1680635546,1502074759
2018,2,-1198.0221596350198,7427.8355515167,1459257947
2018,1,-713.4313207267234,8527.0628875,3086323968
2017,4,155.18918951727113,9232.3230415,9932921844
2017,3,176.22525677425446,8226.7914436667,9737496924
2017,2,10.18192803144019,7878.3776633333,3408695930
2017,1,-614.424143718785,7868.4289693333,1296537044
2016,4,-1154.321481400617,8468.778704,2096042513
2016,3,-307.3708516416037,9596.658528,1395129252
2016,2,0.0924452798777326,9896.988538,4714205358
2016,1,11.908931934172102,9905.9629366667,7270459070
2015,4,854.2130649409132,9894.3267986667,16091051810
2015,3,365.19745401326384,9370.5793016667,13282215480
2015,2,198.23064804454026,9013.747304,8552689370
2015,1,177.43882808875304,8820.0574593333,8556997470
2014,4,1288.2009255342375,8646.6831633333,13490702735
2014,3,106.03345910319041,7533.0475092792,5143440502
2014,2,27.734053723970415,7427.014050176,2807407950
2014,1,118.73877794001255,7399.279996452,8539677773
2013,4,-502.8818635544881,7280.541218512,12158839006
2013,3,53.71430160203051,7783.4230820665,12978723861
2013,2,648.7391958461833,7552.646918,20849715348
2013,1,58.919160912638844,6918.5748316666,8224899403
2010,3,35.522727120785675,10541.3033754738,6671247083
