year,quarter,EPS,BVPS,Revenue
2025,3,1535.3427303069523,37389.1553983167,735007663955
2025,2,1664.2734062171216,36853.8126680097,822894822561
2025,1,2260.4217483708885,39465.8332309023,1098821443507
2024,4,2779.218687133825,37268.3394010023,842011094279
2024,3,4650.863264982626,33465.8353696558,965814940132
2024,2,1954.32468214531,31234.8152607266,949028927746
2024,1,1886.4327920805922,30687.0199173085,1050461072326
2023,4,2795.4125170625844,29862.1320592615,1232519586474
2023,3,1590.9191860524493,27789.8140748024,790088707595
2023,2,1364.566208629361,27439.3497305395,779185237133
2023,1,1335.1464595337995,27582.1198558307,755514027869
2022,4,1575.4466405054357,27313.0023018696,896217889847
2022,3,1432.5615151090747,25926.6715556594,841852102480
2022,2,1422.2462560605768,25652.8373022846,760982571180
2022,1,1623.0848723328027,32977.5539350309,751963615296
2021,4,1522.4538662924492,31370.0471434977,645374660710
2021,3,1241.4962588740364,30311.5597804759,456931273366
2021,2,1389.5449768478466,30070.0635216019,577640482994
2021,1,1004.9599144060946,30953.542715798,545362587773
2020,4,1847.4457158854789,30161.5621342428,506197968656
2020,3,1446.7353465580184,29732.5621165409,664878604023
2020,2,1120.659835813185,29097.4807851587,592126606170
2020,1,773.6900048879816,27976.2519931521,337604507669
2019,4,1079.1842273211867,28326.3448128804,624819355586
2019,3,1009.7270726737272,27491.8883462092,489217568407
2019,2,1674.1349493986074,27482.1612735355,828124566440
2019,1,628.2606973370785,28027.2687354239,329802867462
2018,4,1150.6470899272892,27811.0601927889,782004011387
2018,3,760.411165209985,26918.0390034488,508733657042
2018,2,1265.0516125148408,27380.0130308118,659143642998
2018,1,980.9285538663789,36286.6836649889,524436914955
2017,4,2240.413588515305,35106.1799099284,679262482824
2017,3,1007.1662799382822,33182.836432895,520808460452
2017,2,1552.941343406517,33182.5612679394,621956911343
2017,1,1082.1347573431026,43233.1147585434,503734454614
2016,4,1621.0789971316115,42076.134775348,602679896322
2016,3,2024.5131420592934,40381.9413934675,650544397088
2016,2,2577.898715755616,39746.3856875494,630040195276
2016,1,1520.942480778777,39489.3785861994,526516189030
2015,4,1697.672957215966,40101.9034622047,502627084930
2015,3,2257.1521964554463,38417.4736022341,576558046885
2015,2,2495.939887717711,49586.1273481484,586140756921
2015,1,1452.362617340782,48032.8149324918,461900870285
2014,4,1629.4473260425011,46158.4699094382,510883290729
2014,3,1925.2586346682244,46889.6605470373,361526804771
2014,2,1605.248043118434,45964.4019122933,508249245943
2014,1,2453.3298566703634,44359.1538691749,513862610015
2013,4,1671.351962271976,43158.9512958296,363069140775
2013,3,175.51091584502663,42487.5993335576,364491596918
2013,2,1065.0081466355023,43072.1261996666,462406463189
2013,1,2138.4880068184584,42512.675843178,440905782966
