year,quarter,EPS,BVPS,Revenue
2025,3,205.723661264637,20261.4018343214,3336090653885
2025,2,977.21339504182,20046.3460919862,3242696021163
2025,1,715.1875118746515,19172.8106174484,2881154268519
2024,4,1192.2338355570425,18454.7246367169,3767676276947
2024,3,457.9477642578343,18482.9995381042,2900837088027
2024,2,354.1984545310583,18068.3785443337,2718725661478
2024,1,459.6209865172298,17883.4516328003,2664243613514
2023,4,40.73253193487231,17431.5491172745,3023010678273
2023,3,921.3834312769042,18388.0808877774,3473821914888
2023,2,1324.6847139422325,17447.1556332597,3931164139257
2023,1,429.9899122025204,17309.2212734025,2777694839898
2022,4,402.2366773458236,16986.4427257054,3290219669336
2022,3,493.8515019025315,16629.3249778387,3213011366240
2022,2,1434.5358034392773,17138.4254056719,4270932892010
2022,1,1565.6471533801716,17375.7104249716,3835292934301
2021,4,913.98394256273,15827.808338296,3709393327085
2021,3,442.8994086941006,14773.7726433166,2210772803818
2021,2,760.9598081498829,14288.2996512791,2946338803498
2021,1,618.3559524924724,14766.4108635686,2360990578085
2020,4,200.250920078064,14185.7029633568,2336069304585
2020,3,421.8479815612803,14075.4915335229,2297689202850
2020,2,346.85395910114863,14759.5171398528,2416512873845
2020,1,353.97867718969553,14551.1440006111,2383513200626
2019,4,289.54354915579347,14263.4944655091,2746170761206
2019,3,373.7622869633099,13987.2584492026,2550969979899
2019,2,437.0104446436935,14619.0132348478,2560602353056
2019,1,353.80396950150555,14339.9814318501,2280451551060
2018,4,224.70208763019963,13957.502122449,2628617223519
2018,3,302.9118367436155,13763.4967168284,2278941912918
2018,2,494.74375100033456,14553.128221655,2270968079876
2018,1,230.52629632876102,14157.87382697,1834324781467
2017,4,220.2930674696108,13912.510804443,2274478708124
2017,3,412.1345532285045,13919.4173585878,2578971536752
2017,2,410.1713460351288,14440.3770018899,2247938414369
2017,1,413.5559375035129,13478.0603083681,2041983209032
2016,4,408.8915583257329,12875.1733020521,2404814741602
2016,3,510.71260745602603,12360.4638469023,1910371161336
2016,2,0.0,0.0,1881809254497
2016,1,277.17998159934854,11602.5850024953,1952731994192
2015,4,294.13693625081436,11209.6913279584,2089768747163
2015,3,0.0,0.0,2214328287902
2015,2,313.2693329111531,0.0,1856172772264
2015,1,0.0,0.0,1840393536770
