year,quarter,EPS,BVPS,Revenue
2025,3,1191.1628557996632,12437.9593648831,11621904212867
2025,2,776.5171123606484,12300.6454158671,10602989400202
2025,1,-10.663869316533168,11666.3392976729,9656541382611
2024,4,1088.6091718389105,11365.5297482544,9643833047518
2024,3,58.580306396796225,10799.2825328174,9130052809653
2024,2,275.4360016849928,10627.2939183091,8686834032316
2024,1,425.7724539886048,10270.1093460087,7906934200751
2023,4,132.5219061773608,9864.7676111482,7563571969411
2023,3,362.84652818873917,9678.5852917714,7325551939115
2023,2,-471.2901535972402,9315.8553905834,6821879618676
2023,1,122.10728532768393,9711.1006136649,6481102464663
2022,4,-926.6998386614781,9580.3614011211,6123809505955
2022,3,514.4586867490336,10490.0927022471,6327263848834
2022,2,303.92650102509646,10085.5037076347,5850499747483
2022,1,390.7438926330253,9888.5194876072,5436578828668
2021,4,-248.43089160293516,9513.6574558307,3975539789692
2021,3,-2.3706548343077256,9666.8765507194,5501575880685
2021,2,167.9498244115798,9648.6776980409,5126108652534
2021,1,-217.09021458591124,9593.3023644617,4628127273052
2020,4,-388.4123600557091,10056.6521681056,4531716177072
2020,3,287.72681774743455,10379.4958496348,5771815907050
2020,2,-57.384847272064704,9858.6541307654,4330187204531
2020,1,316.2917361786434,9876.406801753,4307737174053
2019,4,142.38718081528842,9613.4214398459,4666212253941
2019,3,19.322594017000792,9116.4301501302,4534391052206
2019,2,213.38955846078758,8952.7804799552,4063012474488
2019,1,23.77965296139261,8933.5060546962,3801371923277
2018,4,35.38205033025952,11990.6397102791,4433918641952
2018,3,-205.22157421355237,11875.1562543631,4432030612248
2018,2,-121.92615755862168,8816.0168957887,4070980002511
2018,1,-65.5038959628154,9081.8416501544,3945682975733
2017,4,-315.9596441141335,9114.3839654054,6077708368762
2017,3,-36.73774963651757,8946.3001677427,4227288074627
2017,2,0.0,0.0,4696225186270
2017,1,0.0,0.0,4032392391271
2016,4,-225.26100506908384,8924.1877402537,4428921979910
2016,2,-592.7825195420288,7726.5947871197,3703728343904
2016,1,-555.2745820838625,9881.1153103737,3297327423296
2015,4,677.6105532260727,10861.4382765205,3769588964326
2015,3,0.0,0.0,3924705702512
2015,2,0.0,0.0,3417362620447
2015,1,0.0,0.0,3763532633586
2014,2,0.0,0.0,3762157043542
2014,1,0.0,12060.3501325732,2986831664941
2013,3,0.0,0.0,3104781167245
2013,2,0.0,13651.113569298,2638705078756
2013,1,0.0,13651.113569298,2156462456205
