year,quarter,EPS,BVPS,Revenue
2025,3,-3.6113831066666666,928.10537616,0
2025,2,-5.190998153333333,931.7167592667,0
2025,1,25.85548768,936.90775742,0
2024,4,-1.4236520533333332,911.05226974,0
2024,3,-3.316291393333333,912.4759217933,0
2024,2,-7.114672433333333,915.8527666733,0
2024,1,-3.5979256933333335,922.9674391067,0
2023,4,-24.721289133333332,926.5653648,0
2023,3,9.966489293333334,926.4142846467,0
2023,2,-5.146997753333333,916.4477953533,0
2023,1,-9.93361542,921.5947931067,0
2022,4,-153.81182399333332,931.5284085267,0
2022,3,-3.635627,1110.82214696,0
2022,2,-13.699194953333333,1110.82214696,0
2022,1,-7.656959153333333,1110.82214696,0
2021,4,-106.03336226,1110.82214696,0
2021,3,-3.54654014,1266.28879182,0
2021,2,-213.58861436666666,1266.28879182,0
2021,1,0.0,0.0,0
2020,4,-304.3771720866667,1266.28879182,0
2020,3,0.0,0.0,0
2020,2,0.0,0.0,0
2020,1,0.0,0.0,0
2019,4,-712.8085317466666,1610.8024474867,2163874500
2019,3,-642.2112926866666,430.0548148267,0
2019,2,-15.507728066666667,1630.0816136667,2472252750
2019,1,0.0,0.0,4272526886
2018,4,-1504.2131149,1663.5691467533,6732350372
2018,3,0.0,0.0,694248750
2018,2,-66.48002482666666,3399.66506486,0
2018,1,0.0,0.0,0
2017,4,-5790.605655526667,3399.66506486,0
2017,3,0.0,0.0,0
2017,2,-1410.2825810533334,9408.24572872,0
2017,1,-438.35423526,10766.9574118933,16078973210
2016,4,-88.19513870666667,11199.1413864,139618184615
2016,3,-120.64264218650389,11185.1242163267,50147599400
2016,2,30.287772835041796,11306.9156809867,375254600000
2016,1,17.22278924064337,11245.6304015267,589992650000
2015,4,35.33029352673136,11275.45733782,215855755000
2015,3,164.29542944002173,11433.3739852067,209681053250
2015,2,202.69463762426642,12547.4870142133,142296705000
2015,1,80.26329501333333,12171.79325052,91837568900
2014,4,158.16423002666667,12005.22521976,123059740442
2014,3,704.2510253466667,11866.4535592133,165914543549
2014,2,326.4440894933333,6169.74457772,106663041208
2014,1,57.853140653333334,10843.57933868,36735802878
2013,4,207.03654277333334,11570.1152413333,19323102942
2013,3,563.1886332266666,11583.60145368,71656890392
2013,2,2563.65284196,16530.61923068,65283207136
2013,1,-387.50866568,13966.96638872,30671911188
2010,2,0.0,18316.3662148,81272813991
