year,quarter,EPS,BVPS,Revenue
2025,3,83.07571018156857,18908.5710330252,39143023000000
2025,2,-244.20067790269513,37465.4486986659,46435488000000
2025,1,1825.1518573664894,37771.6441939041,84057598000000
2024,4,573.3854748971597,35933.3146535246,62156465000000
2024,3,1384.7781545329085,35261.926519652,62862398000000
2024,2,-922.9417781099481,33888.123708865,42332284000000
2024,1,2075.0970956553233,34095.7673476478,21739452000000
2023,4,-41.52198029746074,29746.6190941474,27451788000000
2023,3,-174.9728602614681,32158.3369862477,47955856000000
2023,2,478.2828579100894,29626.5574477544,47284619000000
2023,1,279.5629299306874,29172.9202605686,38974698000000
2022,4,408.76070795261137,28865.9318541643,41172043000000
2022,3,248.24252661252552,29041.6603082194,28791594000000
2022,2,889.4562967158637,27704.6025843959,13384639000000
2022,1,643.3658777802303,26834.0189190732,18239222000000
2021,4,-1563.7477101045338,26343.9209690412,34478172000000
2021,3,-92.33013622016061,26130.4687018389,30116315000000
2021,2,381.0215926389213,23450.2100147019,37480741000000
2021,1,619.0979960360398,24021.5238237897,23305458000000
2020,4,326.02058509647054,23413.8956861787,35923421000000
2020,3,455.31370386524327,24271.2714468444,35989817000000
2020,2,604.8112283658126,24002.8759910192,23352469000000
2020,1,129.62305902040697,23006.5208817781,15470516000000
2019,4,1362.155668063539,22592.4736566435,38464244000000
2019,3,147.11752252542158,22740.6185178032,31581789394113
2019,2,407.1508107537459,24051.7968887366,39241957407663
2019,1,310.3031367154711,16424.8745276019,21914710588602
2018,4,758.2206112847545,16793.4202570425,37808253000000
2018,3,192.30140629908016,16324.9071355378,23460387988882
2018,2,54.64830558762764,13105.007020532,32250728350440
2018,1,288.08413440149974,12587.5572816618,28452382009388
2017,4,810.8683160205536,12008.2476395596,33190004318396
2017,3,149.1512909161891,10482.1050085661,21979764021964
2017,2,314.37911030236825,10207.5520699362,20087737959594
2017,1,335.821035387832,9947.5472757106,15166169052429
2016,4,-62.65493357192189,10191.5397914242,23922923974788
2016,3,66.45742118992753,9884.1261778729,10661516783908
2016,2,289.97883206026836,12259.5682492948,9273538749900
2016,1,361.6191335124962,13354.0566377799,14739597318159
2015,4,96.599704892044,12383.6272363886,14409259141830
2015,3,135.5005870190053,12023.3057285611,7268427623497
2015,2,156.38669804594065,14940.512540537,6035578292221
2015,1,232.2352402244238,14319.1704961162,6311326876972
2014,4,243.67759305390314,14022.1854257322,6217475955881
2014,3,611.3774915310909,12668.0829322747,7664553124925
2014,2,604.0998560813449,12330.2231829948,7693765313144
2014,1,1202.8831287398605,17388.6058016759,6175539052490
2013,4,919.6202257065313,15924.7719727234,6777132400693
2013,3,2063.00084172183,18045.632752434,8469983770011
2013,2,4175.373431277166,15762.7670683544,2147622191084
2013,1,309.1272075141725,11685.3770318042,984191397336
2008,2,0.0,0.0,64585429647
