year,quarter,EPS,BVPS,Revenue
2025,3,-56.66513152941177,22126.6677191765,177920684338
2025,2,620.1878920392157,22183.3300451373,136870001997
2025,1,-50.98795333333333,22279.6143787059,71921176054
2024,4,331.5271237647059,22330.6023320392,75415133072
2024,3,201.46467105882354,21954.1046791373,30177997945
2024,2,232.2567990980392,21804.861184549,31603704443
2024,1,380.7822016862745,22258.8772209804,28480103686
2023,4,-148.64703898039215,21878.0950192941,34568054387
2023,3,436.1290489019608,21916.1613355686,38224316957
2023,2,850.7292688627451,21480.0322866667,36733547668
2023,1,447.57466415686275,22156.1566772941,33083211158
2022,4,-1268.9634514901961,21902.4094641176,53636975522
2022,3,2186.9829361960783,23318.6578080392,55000602495
2022,2,2130.1082834117647,21131.6748718431,62263677892
2022,1,985.9542999215686,20408.5604119608,43274357550
2021,4,376.88536105882355,19430.385022549,47602688681
2021,3,404.63547376470586,18928.305690549,56300070377
2021,2,598.4187228235294,18523.6702167843,83242606810
2021,1,421.4948122745098,18738.8713566275,72002114060
2020,4,645.3642350196078,17982.6133307059,71427292481
2020,3,0.0,0.0,41200789840
2020,2,475.4683922352941,17437.0298606275,42514245621
2020,1,488.510212,17145.8747241961,39443659386
2019,4,378.4741988627451,16663.4201085098,48953630207
2019,3,408.697312,16284.9368743529,38723589163
2019,2,-243.0850251372549,15876.2395623529,45399571063
2019,1,976.1912624313726,16607.0713079216,37106179825
2018,4,248.56374929411766,15726.1301026275,52268238009
2018,3,473.45050109803924,15475.4756866667,50101846515
2018,2,495.03524,15002.0251855686,50985317093
2018,1,433.76336623529414,14506.9899455686,40314129728
2017,4,613.9531317647059,15130.0893244314,60263163495
2017,3,428.9865085098039,14471.3866246275,54414016626
2017,2,204.7200091372549,14042.4001161176,47274229631
2017,1,396.72289898039213,14954.3433558431,51578584768
2016,4,545.5322441568627,14557.6204568627,66473865316
2016,3,405.9361925098039,14120.8046221176,52103125182
2016,2,0.0,0.0,64645234929
2016,1,0.0,0.0,63092305275
2015,4,160.16047031372548,14027.5975260784,140971535694
