year,quarter,EPS,BVPS,Revenue
2025,3,677.5095532241977,12543.5013488491,682759629909
2025,2,484.8370915652553,12865.99851567,553537125571
2025,1,-179.7637213722076,12381.1614241048,379108094630
2024,4,639.7042078722769,12611.3347846098,707807481393
2024,3,648.0922577999725,11971.6305767375,557831780462
2024,2,406.65873976673123,11323.5383189375,508971813764
2024,1,-645.7461798743287,10916.8795791708,379387150303
2023,4,171.64379838632516,11562.6257590451,562210544507
2023,3,228.61896177942316,12191.0216654856,566749541480
2023,2,-210.47903729913065,11962.4027037062,527044118487
2023,1,-188.0420604626463,12172.8817410053,345840446753
2022,4,472.8554024083042,12447.6634344183,611101140799
2022,3,402.0385076187712,11974.5347231333,602373708334
2022,2,367.35507314609157,12372.5015915507,498855515930
2022,1,-224.27732378361583,12005.1465184046,289195186065
2021,4,323.3789563465867,12298.5043455492,418305580730
2021,3,184.24800766661153,11975.1253892026,276586673458
2021,2,315.66263041287635,11855.3455797623,333672752310
2021,1,100.05050287937935,12371.4901064935,229355539523
2020,4,708.2468881515086,15824.2653297513,383278145508
2020,3,1105.466453216835,15114.0359096957,335325149191
2020,2,1019.7364445869426,16008.6039186111,320221527592
2020,1,211.51237159778753,14988.8674740242,253168355562
2019,4,877.2785813129908,15162.8202499797,463112731114
2019,3,1132.2442388238073,14286.5030007697,397978442263
2019,2,1126.3710285982363,13154.2587619458,351135147828
2019,1,565.7512738681036,13832.8943461795,261788097406
2018,4,1287.333649646476,13305.3995517564,410365146887
2018,3,802.801168984245,13459.2088653938,359121808423
2018,2,4.945570857015793,12656.4076963583,272058763005
2018,1,3.533653143972122,12501.6575990769,207370736609
2017,4,595.3635217509388,12498.1240068718,297228293381
2017,3,834.8730766848086,13446.1784720667,262940780201
2017,2,835.6739512537241,16360.8621735333,241007920851
2017,1,453.6500004933444,15511.4982226667,178832796522
2016,4,1314.1131204005637,15057.8583839333,307295233061
2016,3,1261.0953078015614,13743.7746996667,270575876846
2016,2,1001.3949709806833,12482.7076404,193188692231
2016,1,247.0581534359703,11481.3351006667,196001904078
2015,4,737.8157505394787,12919.8024813333,190464090476
2015,3,694.6365958597472,12182.0032578667,189457213642
2015,2,843.8960588717188,13887.3932654545,176820094371
2015,1,210.64842833333333,12608.7915145455,127600368223
2014,4,943.6153939393939,15420.1162873737,213476092418
2014,3,1066.2801087878788,14436.4983825253,188764901472
2014,2,778.0691006060606,13370.2182737374,169795330149
2014,1,12.678769898989898,12591.6420222222,107805278807
2013,4,418.7191462626263,12609.8660806061,150715160133
2013,3,700.9140840404041,12206.2984494949,167042391245
2013,2,995.5964233333333,11505.3843654545,135437666255
2013,1,-931.3500791919192,10516.6970330303,97427432759
