year,quarter,EPS,BVPS,Revenue
2025,3,-75.77522823242184,16565.3931562927,761478234023
2025,2,70.35909903285547,16649.0002758462,836193206164
2025,1,4.259767346768339,16601.6913144162,609472672181
2024,4,118.80989733284106,16608.8493981911,759420772651
2024,3,69.42097638386298,17337.4605594053,750781873316
2024,2,49.86677866073499,17879.9287605335,817509758269
2024,1,16.66854434549889,17845.7827065888,632174607645
2023,4,166.47152246871525,17843.0542763733,804102120964
2023,3,184.8853679498905,17721.018161597,820280326549
2023,2,160.920454304429,18050.2108463049,793054864284
2023,1,277.0470888843003,18847.8106138278,736698103796
2022,4,130.75199808469202,18607.7318412577,789427175743
2022,3,266.09127201217285,19125.9759391524,834773699166
2022,2,76.95794606358912,18896.972595301,841406551752
2022,1,202.47453548040198,17806.5411361296,676116988108
2021,4,142.12458970005676,7824.9842593488,720058495813
2021,3,513.3341158618722,21655.267698832,796435197191
2021,2,113.61142579356904,21208.5434484398,791106345693
2021,1,367.174736327475,20635.1743595981,622781978498
2020,4,782.4762267792903,17305.9773710084,677708796519
2020,3,860.4079866404653,16641.4942303609,780277254314
2020,2,597.9706241580958,15822.4875553636,735481633002
2020,1,424.9654579325209,15933.9177292277,634926665578
2019,4,420.427051726597,15530.6572267159,610799742938
2019,3,363.070217460896,15231.2127253134,701998401364
2019,2,398.8493151455603,15066.3460218855,724370406873
2019,1,330.5098348996054,14623.1251934835,562297111885
2018,4,269.4476419391135,14307.1779309995,587722646078
2018,3,424.3958310644839,14407.2658297967,639182099421
2018,2,695.2287594332895,14333.3467674205,701957186688
2018,1,507.72507280391756,14368.7175658389,619109182929
2017,4,98.66846630005864,13884.1138212865,619121796050
2017,3,413.91918275463144,13907.8123288062,710532378941
2017,2,377.98676106559327,13475.5204580435,707705742316
2017,1,428.1430613144007,14165.5218746454,676678252944
2016,4,252.33984104847784,13760.8812788387,617502353477
2016,3,422.8781703618009,13355.4531915659,740329487647
2016,2,748.4753920064659,12942.3507107336,740975384600
2016,1,417.21822077304637,13096.9621010444,623256053902
2015,4,232.8271029777658,12806.6801339281,715358093423
2015,3,0.0,0.0,730889673015
2015,2,0.0,0.0,770458566208
2015,1,0.0,0.0,549319988192
2014,4,57.04032474921158,12741.4081025182,675590170142
2014,3,0.0,12325.6744005008,694974699545
2014,2,0.0,0.0,813538225390
2014,1,0.0,0.0,594390162951
