year,quarter,EPS,BVPS,Revenue
2025,3,395.4324404844291,17834.6609856055,48060671363
2025,2,524.7920720415225,17439.2285451211,52716749333
2025,1,420.8536998615917,16914.5042122837,43813951577
2024,4,973.8689937024221,16493.6505124221,54996162392
2024,3,503.0099713148789,15857.4877995848,47362447146
2024,2,621.6393901730104,16976.4778261938,49502945864
2024,1,430.88447629757786,16354.8384360208,43396401832
2023,4,1304.9983794463667,15923.9539597232,52994654820
2023,3,520.3686452941176,14957.149200692,48652005919
2023,2,632.1819920069204,15436.7805553979,46147240962
2023,1,342.6906988581315,14804.598563391,39200208961
2022,4,1174.788424048443,14461.9078645329,50993439211
2022,3,560.1886648788927,13676.770222872,46315391268
2022,2,490.86253159169553,13716.5815579931,45114236980
2022,1,507.6547464013841,14125.7190264014,42521032189
2021,4,947.6179614186851,13618.06428,42221071295
2021,3,406.5516482352941,13497.0076553633,41156170754
2021,2,519.796578650519,13090.456007128,46615234142
2021,1,517.0725105882353,13570.6594284775,45547220337
2020,4,679.6207015570934,13030.2305165052,37442433973
2020,3,463.27095512110725,12658.4034814533,43271064631
2020,2,441.14954221453286,12195.1325263322,44926540587
2020,1,532.8046279584775,12487.2029252595,42666267794
2019,4,702.7254270588236,11950.6297587889,42669948878
2019,3,358.6361669550173,11636.6290086505,40701679435
2019,2,350.9950091695502,11277.9928416955,40822642692
2019,1,398.2824100346021,11526.997832526,35904831916
2018,4,417.4881366089965,11128.7154224913,31685370737
2018,3,223.15735975778546,10913.1177211765,32295319567
2018,2,148.6757266782007,10689.9603614187,33356959324
2018,1,221.9672917647059,10541.2846347405,33088383327
2017,4,430.16458878892735,10319.3173429758,30315246523
2017,3,184.06848979238754,10614.4656063668,30798074046
2017,2,0.0,0.0,30729918491
2017,1,0.0,0.0,25457629186
2016,4,167.59393134948098,10120.1365283045,25129832914
2015,4,446.1989988538662,16973.7418530045,27192404752
2015,2,0.0,0.0,26486266158
