year,quarter,EPS,BVPS,Revenue
2025,3,252.0027554914267,28729.1628001237,2894281133187
2025,2,988.0672099856166,29226.0293891399,2571135233424
2025,1,-164.92090403865285,26175.8658191276,2231692886119
2024,4,-14354.897480164254,26124.2415769418,2612644207354
2024,3,295.6512123816815,48608.3430964296,2578510603432
2024,2,-18361.20417806932,45378.0926809229,2054727608459
2024,1,476.7976202672606,104421.8355706431,2258963998225
2023,4,-7998.452885405067,149517.8073849527,2176529019267
2023,3,-4070.025913662305,159185.2796973483,2332914067744
2023,2,-5327.8891739629735,175078.7253166759,2245912009481
2023,1,-1409.4057293986637,171815.9847288419,1852455662840
2022,4,-15153.884588147272,180949.2241595212,2036669854143
2022,2,0.0,0.0,1997760389501
2021,1,0.0,0.0,1489391770051
2020,3,6386.134038052924,178069.7568128115,1574623511608
2020,2,6537.485397865171,171495.0566854325,1546755418469
2020,1,4408.127554930867,0.0,1302849863847
2019,4,2292.2314470464544,0.0,1309118711769
2019,3,0.0,0.0,1344879614284
2019,2,4859.40019398475,0.0,1302758653423
2019,1,4664.200405255569,0.0,1221334158160
2018,4,-1329.70720257913,0.0,1143693973452
2018,3,4439.34117097403,0.0,1095207246248
2018,2,3510.0882578029828,0.0,987784530139
2018,1,0.0,0.0,1078019540781
2017,4,3151.638586223184,0.0,1089876009481
2017,3,0.0,0.0,1076344803655
2016,4,7511.10238574951,87043.2072181124,1125041378702
2016,3,0.0,0.0,734771651543
2016,2,0.0,0.0,603415753735
2016,1,0.0,0.0,560655390535
