year,quarter,EPS,BVPS,Revenue
2025,3,91.64860414614121,17109.0805091544,137132708318
2025,2,215.1554152134647,17017.4319050082,84897738860
2025,1,57.35056927750411,17826.9070316667,134904065991
2024,4,201.44114106732349,17769.5564623892,234623700914
2024,3,77.72865556650247,17568.1153213218,69184308855
2024,2,90.39535622331691,17490.3866657553,76948760465
2024,1,56.60457917077176,18647.6103571511,38677126971
2023,4,868.1072005254515,18591.0057779803,90052954361
2023,3,104.28015116584565,20722.0893013711,84253840521
2023,2,-616.8420754926109,20617.8091502053,474731201197
2023,1,10354.999644244663,21288.8384178161,195019990179
2022,4,-1048.1239280952382,10933.8387735714,599649577856
2022,3,53.96570883415435,11981.9721931691,452048272549
2022,2,619.0269154926108,13128.006484335,249983287424
2022,1,0.5528384564860427,12508.9795688424,311396707442
2021,4,-1.737700172413793,12555.2247599425,425205891354
2021,3,-12.549745172413793,13756.9624601149,327899724143
2021,2,884.9112572906404,13769.5122052874,268624996127
2021,1,77.41123710180624,12933.0410136782,474200464453
2020,4,577.006818817734,17896.7643724959,575378624439
2020,3,432.2027729228243,17309.8318863383,649772340343
2020,2,367.23313450738914,16877.6291134154,605259122463
2020,1,539.2336874466338,17756.7588688998,767267922830
2019,4,832.9150563382594,17217.5251814532,709660280738
2019,3,324.46039862889984,17601.4329109442,517328979679
2019,2,320.5028352134647,17291.0899982594,695024129303
2019,1,539.01295908867,16984.7046489737,626573521892
2018,4,598.5050319868637,16459.8091758292,1092595890221
2018,3,544.3904590147783,17243.0001318637,1093937210188
2018,2,506.17565863711,16712.7271587931,1071511621302
2018,1,714.289342454844,16261.7198892118,1101040051748
2017,4,830.9136590722496,15561.5480326929,1271014763251
2017,3,514.5620214942529,14760.2134383498,1126340478971
2017,2,440.46869435960593,15239.5035000903,898264340299
2017,1,0.0,0.0,1093556485590
2016,4,415.87790926108374,14103.4448123071,1547494573424
2016,3,0.0,0.0,1467979471166
2015,3,0.0,0.0,898224898615
