year,quarter,EPS,BVPS,Revenue
2025,3,917.0089562096351,19406.6853606447,26165798000000
2025,2,612.8619639577998,18489.819461018,23456522000000
2025,1,490.91838992614976,18377.1100318666,22184295000000
2024,4,581.9844294212785,17885.8509530031,21401247000000
2024,3,507.6721433884652,17304.3875772506,19607046000000
2024,2,449.5689874742972,16796.7154338622,19757425000000
2024,1,449.55020735899825,17418.5859292345,19345927000000
2023,4,255.87339910156516,16969.0357218755,20430922000000
2023,3,305.6175130920573,17739.5759750271,19323045000000
2023,2,454.04132695237456,15187.449441084,18774908000000
2023,1,377.7561354641158,14798.6880757983,18028502000000
2022,4,337.4869882789966,14424.953864887,16655830000000
2022,3,555.6040006298625,14088.5273240485,15858353000000
2022,2,522.582957329677,13488.2133756865,15446690000000
2022,1,1950.641752880209,19580.1851507069,14239240000000
2021,4,546.3739828255101,17629.5433978267,12498074000000
2021,3,486.07196846998016,14019.3157341243,11504643000000
2021,2,903.457415028507,13499.2760283448,13486135000000
2021,1,1304.3332849701956,22811.0191560058,13338246000000
2020,4,1180.2549866734487,21506.6858710356,13348549000000
2020,3,917.2076580985083,20257.1773501284,12883536000000
2020,2,1210.5523445979002,19474.839840791,12881819000000
2020,1,949.234560987908,18264.2874961935,13247863000000
2019,4,1031.392753685062,17315.0529352052,13237012000000
2019,3,936.3566936752487,16610.1003552062,12969112000000
2019,2,834.1383384479678,15552.4238985085,12113541000000
2019,1,578.7666411741901,14726.7438947795,11377003000000
2018,4,999.460520247681,14144.7408619137,10599636000000
2018,3,569.5137602871616,13020.0408160157,9954794000000
2018,2,574.6217315282016,13427.7614494606,9995548000000
2018,1,862.2559083381143,20141.8341638955,9730236000000
2017,4,1293.9826239143445,18906.9623964503,9167841000000
2017,3,1265.2181643381653,17588.1303151679,8856646000000
2017,2,713.8149875262573,18134.7185297265,8122773000000
2017,1,1428.0002894443921,17350.5527356814,7983474000000
2016,4,1573.397233416839,18709.8660276658,7403640000000
2016,3,1489.1395272846096,17189.650364884,6409545000000
2016,2,419.8442435464546,15697.7006861998,5984269000000
2016,1,1505.9168110918545,15475.3011654504,5776036000000
2015,4,860.7608318890815,16618.8524844516,5349319000000
2015,3,0.0,0.0,5101695000000
2015,2,0.0,0.0,4315846000000
2015,1,0.0,0.0,3991941000000
2014,4,317.5944540727903,14147.9595614589,3747469000000
2014,3,826.5753899480069,15172.1143847487,2814452000000
2014,2,721.6412478336222,14327.9740034662,2935856000000
2014,1,272.35701906412476,13667.9185441941,2904700000000
2013,4,1029.6967071057193,13391.1559792028,3623948000000
2013,3,318.73830155979203,12316.5407279029,2616091000000
2013,2,122.44413906759098,11870.8388214905,2564641380574
2013,1,226.41721275216636,11697.3329094298,2457626619426
