year,quarter,EPS,BVPS,Revenue
2025,3,1268.325767584762,14799.0188738719,259535776972
2025,2,651.8881449620206,13530.6931062871,173191009283
2025,1,100.11778760389531,13265.8854393892,84720799791
2024,4,484.404909177421,13165.7676517853,147209487078
2024,3,1160.9905532460386,14081.3627426079,244000677615
2024,2,214.10495608348538,13920.3721893619,106858724961
2024,1,131.57673783628613,14844.7157285724,88159754326
2023,4,473.97527646897055,14713.1389907361,137678906976
2023,3,686.2434354002677,15545.7358083027,167044506738
2023,2,337.5302808493686,14859.4923729024,122276699457
2023,1,296.04674748422286,14653.1762346035,114884572420
2022,4,605.8279261108977,14380.8630672408,157001316919
2022,3,1238.8597879442848,14768.2395843502,250082500040
2022,2,528.9857561189185,13529.3797964059,155903103906
2022,1,284.1356831441828,13084.2169490805,118360597454
2021,4,268.0565791818264,12800.0812659363,136926030648
2021,3,726.3958090800747,12531.5765759819,188190343025
2021,2,372.7045670925452,12005.1807669018,137424641707
2021,1,171.81676064375833,11669.2955132155,106027744552
2020,4,318.06900412421925,11897.4787525717,146075452260
2020,3,442.5369442837633,12089.6193061522,156303168927
2020,2,2.1645553808992055,11646.638040958,94610478309
2020,1,1.563040312299051,11681.245950326,58210125711
2019,4,-162.06635546128038,11679.6829100137,71741227994
2019,3,478.1304730969652,11849.4706040679,151013449818
2019,2,367.4530476224849,11371.3411948643,141207122913
2019,1,232.32187057335568,12097.7391070758,120013028158
2018,4,295.1961858315503,11865.4172365024,146016522235
2018,3,817.4540339848636,12540.927732866,208735408638
2018,2,314.1462048807769,11723.4821424794,140816910538
2018,1,181.705903474593,11891.9455825211,117824173644
2017,4,323.0976902464203,11757.7098566969,146986129192
2017,3,996.7067614152907,12037.1967996128,222113004037
2017,2,199.08230430306634,11040.4900381975,123213052575
2017,1,69.03713213937586,10876.5867255276,101060751854
2016,4,155.1286412281147,10807.5495933882,123703984020
2016,3,620.6290150776787,11413.1686282036,166797318327
2016,2,0.0,0.0,99971048057
2016,1,-271.03574230920407,10752.6778478656,58271256835
2015,4,-66.04411122395773,11030.48002488,92690787954
2015,3,0.0,0.0,159803348036
2015,2,0.0,0.0,87539727337
2015,1,0.0,0.0,100601587904
2014,4,438.7947145060459,11482.0467777162,117531980670
