year,quarter,EPS,BVPS,Revenue
2025,3,-2582.37108533976,15565.7389603239,2546708600143
2025,2,268.82730122373783,18148.1100456637,4370279286449
2025,1,214.53462468468996,17879.28274444,4624592197594
2024,4,938.677802431379,17702.7323419104,6259099479776
2024,3,134.9035231969019,16726.0703173239,3464614833397
2024,2,23.25036310555118,16591.166794127,3289138177497
2024,1,20.2605943707926,16567.9164310214,3244349378684
2023,4,-771.6015409323523,17374.709756702,734294990525
2023,3,292.20526879506355,18063.5863716718,2034910795347
2023,2,279.69950508075505,17902.2764061583,1774822962036
2023,1,431.7625019101453,17659.459519288,1793695869598
2022,4,-1155.7012485396206,18089.0816963958,1622552085698
2022,3,183.991745315015,19244.7829449354,1461596186453
2022,2,1100.6391057415456,19560.7911996204,1473833437185
2022,1,650.7955708457592,18722.8118951994,966680863242
2021,4,840.8395366824853,19882.2847822256,794448866034
2021,3,1533.2543107454767,19174.4846109585,1001386743957
2021,2,2837.105201596078,17961.8454503196,1105646238982
2021,1,3211.7219831228836,15227.1788389563,981597724985
2020,4,1548.2927500370283,13216.9696200854,870922809324
2020,3,508.26336969353986,11668.6768700484,596768133430
2020,2,188.7187630533145,11160.4135003549,321177362429
2020,1,9.373980171428572,9929.4743990571,543842044951
2019,4,292.6886388688037,11563.4244899267,630086918638
2019,3,476.70411724062967,13270.5948641723,651295044750
2019,2,483.4899114646099,12793.8907469317,451816700714
2019,1,615.210230294094,12414.7587948147,565934366834
2018,4,231.705945867027,13577.029549009,952124903173
2018,3,509.06988319518183,13435.068517673,538862854347
2018,2,1353.874114613861,12925.9986344778,395544073533
2018,1,0.0,0.0,385627941631
2017,4,396.09849668215116,12711.60867885,634341006638
2017,3,0.0,0.0,445215358954
2017,2,307.7426864,0.0,493542756146
