year,quarter,EPS,BVPS,Revenue
2025,3,94.4019207106875,20030.822198394,3111001000000
2025,2,93.88834249935587,17554.8917536418,2946477000000
2025,1,50.37304467147837,17800.2494224647,2973152000000
2024,4,-298.2913553472141,20343.4882473958,2434319000000
2024,2,0.0,0.0,5034196000000
2011,3,307.8707584949688,19731.1564702016,320543700838
2011,2,703.1145154600139,19416.6972034281,265568626524
2011,1,311.8329434334673,17793.8811121526,212675392299
2010,4,175.3900025853718,19731.1564702016,103125282821
2010,3,257.30521641943784,10694.2243199314,222801282598
2010,2,0.0,6815.1785910966,194595023381
2010,1,0.0,6598.9093327452,144564047764
2009,4,0.0,6579.7295294722,71458526844
2009,3,0.0,11859.9453125,165226621726
2009,2,0.0,11383.591796875,128340170142
2009,1,0.0,10796.677734375,120837611566
2008,4,0.0,10695.6826171875,78253384568
2008,3,0.0,0.0,148775573335
2008,2,0.0,0.0,124830130921
2008,1,0.0,0.0,119023972402
2007,4,0.0,0.0,0
2007,3,0.0,0.0,0
2007,2,0.0,0.0,0
2007,1,0.0,0.0,0
2006,4,0.0,0.0,0
