year,quarter,EPS,BVPS
2025,3,580.3465042990147,24002.2993926997
2025,2,430.75354787001527,23421.9528884007
2025,1,558.6942831709973,24861.2584112807
2024,4,426.02402009976106,24302.5641281097
2024,3,121.62203637133396,23891.2024339967
2024,2,607.1804564626957,26969.5803976253
2024,1,399.9077970921264,26795.2380977784
2023,4,462.439148025969,26395.3303006863
2023,3,1246.7881559985942,25917.8811941501
2023,2,685.0199146794456,27168.2819030218
2023,1,620.8656017535151,26808.2668866553
2022,4,146.02467756857985,26187.4012849018
2022,3,955.3390374735944,26087.4286399462
2022,2,1146.5575748452486,27624.3798365068
2022,1,777.4300690966529,27255.6768526568
2021,4,651.8509476049563,26213.9436823475
2021,3,764.2091683700463,25458.19378106
2021,2,455.060426903556,27693.98461269
2021,1,753.7428303053683,27501.0474387021
2020,4,1157.125937059775,26758.839397989
2020,3,472.9034372112312,25601.4974445404
2020,2,707.4866258158239,25128.5361646867
2020,1,283.8683086692669,24741.1554294453
2019,4,1021.3030560949729,24467.117648753
2019,3,431.7214074486365,25480.3735936034
2019,2,791.7164091816925,25047.758444977
2019,1,364.4739512386278,24874.0290138975
2018,4,898.2494083277209,24580.2765033073
2018,3,420.47846647739016,23697.6865706106
2018,2,2044.1704425485898,23278.1471039662
2018,1,337.88772519128764,25828.1282331463
2017,4,1563.6834714866038,25530.9740424381
2017,3,324.96354036529397,23995.137129912
2017,2,1322.6581494302688,26037.1761827468
2017,1,266.8823687315031,26503.6044369099
2016,4,1312.6518297854077,26228.5747412876
2016,3,892.8830128755365,25105.6575207725
2016,2,1355.380705665236,24227.7188846352
2016,1,449.7469656652361,25458.3468033476
2015,4,334.2224823175966,25008.5998376824
2015,3,0.0,0.0
2015,2,0.0,0.0
