year,quarter,EPS,BVPS,Revenue
2025,3,-516.2895901698244,2671.1163846386,29160540972
2025,2,-236.23336067572112,3187.4059748084,48993474692
2025,1,-629.1090742889163,3423.6393354841,18736694580
2024,4,-2112.413740472502,4052.7484097731,65267660862
2024,3,-1031.3993455469235,6165.1621502456,61783108806
2024,2,-1173.8335185695469,7196.5614957925,34352357289
2024,1,-673.8784964239294,8370.395014362,23544058867
2023,4,-1938.999786003657,9044.273510786,44649320503
2023,3,-1188.5361885315413,12528.7044930316,39593143523
2023,2,899.405488071635,13717.2406815631,16215783634
2023,1,52.09858899260602,12821.4841988161,33499014842
2022,4,258.78985888114147,12769.3856098235,52539905448
2022,3,6.535747712425344,12526.1788965084,68995802676
2022,2,17.810115342026283,12519.643148796,61545531679
2022,1,97.34795729094553,12520.5377659917,128447995941
2021,4,-682.1189459669247,12423.1898087007,180455634309
2021,3,1128.5294631433499,12982.488559087,270360665244
2021,2,11.60740678153839,11867.3731607961,125740367424
2021,1,367.8125723900564,11855.7657540145,59159455415
2020,4,1199.9316814767426,11487.9531816245,74506868322
2020,3,197.4863895131111,10729.8152940726,37223303352
2020,2,-318.7918479790577,10532.3289045595,54072648269
2020,1,-428.5278641310134,10861.6829398615,32680315842
2019,4,174.09152491991708,11290.2108039926,84566657538
2019,3,246.80789017104973,11116.1192790726,65857867023
2019,2,-224.68357927575113,11269.3113889016,71680346805
2019,1,15.027924996951935,11508.5146261112,50356468842
2018,4,273.37201948225,11493.4867011143,102435645888
2018,3,515.53661533218,11222.1212724619,83354446064
2018,2,-573.386743079128,10706.5846571297,73726149977
2018,1,76.87757215808398,12522.0368298769,84448762507
2017,4,36.445817084337016,12445.1592577188,87220711644
2017,3,104.6410547978929,12424.6199065902,63573236549
2017,2,256.6061896058143,12319.9788517923,76192168800
2017,1,459.5219979228813,13679.8822785518,53835166977
2016,4,1060.3438792969075,13220.3602806289,152946820485
2016,3,451.90951297188326,12151.2210141643,84735315335
2016,2,592.5378910612707,11699.3115011925,112878124849
2016,1,216.60565718977884,11564.9881226308,75053110013
2015,4,357.9142842606691,11348.382465441,161778290747
2015,3,146.1094836379817,11158.4549852637,127968096977
2015,2,133.63755432696266,11012.3455016257,153163728022
2015,1,237.38502672164898,11396.9378632437,137501116298
2014,4,65.73208911879615,11159.552836522,131870415398
2014,3,51.00162938570318,11102.3643964824,158442046066
2014,2,96.6377687047609,11058.5598656439,135517150407
2014,1,6.458161259309353,10961.9220969391,63645614681
2013,3,0.0,0.0,96628665047
2013,2,0.0,11450.16224835,88576867921
2013,1,0.0,11450.16224835,66388086682
