year,quarter,EPS,BVPS,Revenue
2025,3,4132.103647015098,23288.8421011847,2235228430563
2025,2,2568.4087763995353,20156.7384541696,2078225326004
2025,1,1210.562727340302,17588.32967777,1136161997329
2024,4,289.00053142857143,16377.7669504297,1210497869775
2024,3,1961.2932436236933,16088.7664190012,831452806650
2024,2,538.6072183507549,14127.4731753775,1047551417001
2024,1,390.4794327990708,13588.8659570267,801622567694
2023,4,650.6889341695703,13198.3865242276,636296001929
2023,3,-233.9163525203252,12530.0878831127,457325886652
2023,2,343.8129457560976,12702.2044474146,696122712018
2023,1,41.40014829268293,12316.9913533659,484148320322
2022,4,873.5103738048781,12316.9913533659,957150809700
2022,3,401.1636898536585,10945.9230868293,772809679382
