year,quarter,EPS,BVPS,Revenue
2025,3,38.09771447394998,19754.4872438789,37201538291
2025,2,65.83479841033974,19716.3895294049,17496771432
2025,1,94.70194932035693,20451.6331569869,17639195297
2024,4,389.7599147767815,20356.9312076665,54183835834
2024,3,136.95134315591497,19967.1712928897,20216161867
2024,2,131.30792395149027,19830.2199497338,37011139777
2024,1,119.50717183435012,20602.3318019705,44485356406
2023,4,329.41819580020757,20482.8246301362,146007684626
2023,3,322.0775054652018,20383.6610596988,22535381982
2023,2,143.3598684081756,20061.5835542336,53143619045
2023,1,254.02858376999063,23747.921470589,17222927805
2022,4,1506.0112008583478,23647.7956089689,170751273578
2022,3,750.8636549006609,21892.2222502962,51853728761
2022,2,688.8725049238925,21330.269143596,140127093676
2022,1,178.15277485641835,21330.269143596,16534602943
2021,4,1962.3607523809524,27853.0298912698,131980044416
