portfolio,model,n_months,alpha_m,alpha_ann,t_alpha,sig,p_alpha,r2,b_MKT_RF,b_SMB,b_HML,b_RMW,b_CMA,b_MOM
SECTOR:Automobiles & Parts,FF3,94,0.00263,0.032,0.51,,0.6109,0.3578,0.76,-0.0037,0.0376,,,
SECTOR:Automobiles & Parts,FF5,94,-0.001637,-0.0195,-0.31,,0.7607,0.4241,0.9307,0.0216,0.0286,0.4257,-0.2109,
SECTOR:Automobiles & Parts,FF6,94,-0.001671,-0.0199,-0.28,,0.778,0.4241,0.9307,0.0216,0.0286,0.4255,-0.2106,-0.0016
SECTOR:Banks,FF3,94,-0.000819,-0.0098,-0.12,,0.9051,0.3692,1.0043,-0.0344,0.0631,,,
SECTOR:Banks,FF5,94,-0.002007,-0.0238,-0.3,,0.7681,0.4862,0.8482,0.0186,0.0473,-0.0425,-1.4352,
SECTOR:Banks,FF6,94,-0.001014,-0.0121,-0.14,,0.8925,0.4868,0.8485,0.0183,0.0468,-0.0353,-1.4444,0.0454
SECTOR:Basic Resources,FF3,94,-0.002183,-0.0259,-0.71,,0.4796,0.7996,1.2516,0.0106,-0.0013,,,
SECTOR:Basic Resources,FF5,94,-0.002645,-0.0313,-0.8,,0.4266,0.8075,1.2335,0.0215,-0.0047,0.0171,-0.2698,
SECTOR:Basic Resources,FF6,94,-0.003245,-0.0382,-0.89,,0.3761,0.8078,1.2334,0.0217,-0.0044,0.0128,-0.2643,-0.0275
SECTOR:Chemicals,FF3,94,-0.003112,-0.0367,-1.28,,0.2055,0.8429,1.1402,-0.0169,-0.0074,,,
SECTOR:Chemicals,FF5,94,-0.004907,-0.0573,-1.9,*,0.0604,0.8545,1.2155,-0.007,-0.011,0.1819,-0.0648,
SECTOR:Chemicals,FF6,94,-0.003527,-0.0415,-1.25,,0.2146,0.8568,1.2159,-0.0075,-0.0116,0.1919,-0.0775,0.0631
SECTOR:Construction & Materials,FF3,94,-0.002348,-0.0278,-1.29,,0.1987,0.9074,1.1659,0.0348,-0.0168,,,
SECTOR:Construction & Materials,FF5,94,0.000106,0.0013,0.06,,0.9489,0.936,1.0732,0.019,-0.0112,-0.2405,0.1593,
SECTOR:Construction & Materials,FF6,94,0.000809,0.0097,0.45,,0.6572,0.9366,1.0734,0.0188,-0.0115,-0.2354,0.1528,0.0321
SECTOR:Financial Services,FF3,94,-0.008471,-0.097,-1.31,,0.1946,0.7667,2.258,-0.1305,0.0737,,,
SECTOR:Financial Services,FF5,94,-2.6e-05,-0.0003,-0.0,,0.9969,0.8079,1.5842,-0.1049,0.0696,-1.1084,-1.8523,
SECTOR:Financial Services,FF6,94,0.003362,0.0411,0.48,,0.6355,0.8109,1.585,-0.106,0.0681,-1.0838,-1.8833,0.155
SECTOR:Food & Beverage,FF3,94,-0.001128,-0.0135,-0.63,,0.5282,0.8467,0.8564,0.0105,-0.0208,,,
SECTOR:Food & Beverage,FF5,94,-0.002757,-0.0326,-1.45,,0.1497,0.8559,0.9727,0.0086,-0.0209,0.2029,0.2649,
SECTOR:Food & Beverage,FF6,94,-0.003747,-0.044,-1.81,*,0.0745,0.8581,0.9725,0.0089,-0.0205,0.1958,0.274,-0.0453
SECTOR:Health Care,FF3,94,0.004171,0.0512,1.05,,0.2977,0.3818,0.6124,-0.0246,0.0168,,,
SECTOR:Health Care,FF5,94,0.000684,0.0082,0.17,,0.8676,0.4602,0.7455,-0.0024,0.009,0.3429,-0.2166,
SECTOR:Health Care,FF6,94,0.00341,0.0417,0.77,,0.4456,0.4738,0.7461,-0.0033,0.0078,0.3626,-0.2416,0.1247
SECTOR:Industrial Goods & Services,FF3,94,0.004832,0.0595,3.19,***,0.002,0.8533,0.7423,-0.0016,-0.0027,,,
SECTOR:Industrial Goods & Services,FF5,94,0.003861,0.0473,2.41,**,0.018,0.8645,0.8311,-0.0071,-0.0015,0.1363,0.2893,
SECTOR:Industrial Goods & Services,FF6,94,0.004464,0.0549,2.54,**,0.0129,0.8656,0.8312,-0.0073,-0.0017,0.1407,0.2838,0.0276
SECTOR:Insurance,FF3,94,-0.002804,-0.0331,-0.73,,0.4673,0.5689,0.8589,-0.0343,0.0312,,,
SECTOR:Insurance,FF5,94,-0.008419,-0.0965,-2.15,**,0.0344,0.6283,1.2388,-0.036,0.0295,0.683,0.7706,
SECTOR:Insurance,FF6,94,-0.00798,-0.0917,-1.85,*,0.0679,0.6286,1.2389,-0.0362,0.0293,0.6862,0.7666,0.0201
SECTOR:Media,FF3,94,0.014136,0.1835,1.88,*,0.0629,0.1099,0.516,-0.0208,-0.0489,,,
SECTOR:Media,FF5,94,0.013489,0.1744,1.65,,0.1019,0.1278,0.4741,-0.0016,-0.0548,0.011,-0.4899,
SECTOR:Media,FF6,94,0.011772,0.1508,1.31,,0.1936,0.1299,0.4737,-0.0011,-0.054,-0.0015,-0.4742,-0.0785
SECTOR:Oil & Gas,FF3,94,-0.004413,-0.0517,-0.85,,0.3959,0.6142,1.2319,-0.1066,0.0162,,,
SECTOR:Oil & Gas,FF5,94,-0.00556,-0.0647,-1.0,,0.321,0.6291,1.2277,-0.0884,0.0104,0.0748,-0.3956,
SECTOR:Oil & Gas,FF6,94,-0.004724,-0.0552,-0.77,,0.4436,0.6296,1.2279,-0.0887,0.0101,0.0809,-0.4033,0.0382
SECTOR:Personal & Household Goods,FF3,94,-0.000439,-0.0053,-0.2,,0.8455,0.7826,0.8644,-0.0001,0.001,,,
SECTOR:Personal & Household Goods,FF5,94,-0.003705,-0.0436,-1.62,,0.1094,0.8124,1.0855,-0.0011,-0.0,0.3974,0.4494,
